Epoch,Optimizer,Train_Accuracy,Val_Accuracy,Train_Loss,Val_Loss,Top1_Train_Error,Top1_Val_Error,Top5_Train_Error,Top5_Val_Error
1,SGD,0.10670000314712524,0.12860000133514404,2.302830696105957,2.2939209938049316,0.8932999968528748,0.871399998664856,0.4849399924278259,0.4269000291824341
2,SGD,0.12364000082015991,0.17100000381469727,2.2936623096466064,2.2866387367248535,0.8763599991798401,0.8289999961853027,0.4466000199317932,0.3547000288963318
3,SGD,0.14022000133991241,0.20759999752044678,2.285378932952881,2.2765700817108154,0.8597799986600876,0.7924000024795532,0.4150400161743164,0.30369997024536133
4,SGD,0.15839999914169312,0.22830000519752502,2.274286985397339,2.2606847286224365,0.8416000008583069,0.771699994802475,0.3851199746131897,0.2702999711036682
5,SGD,0.18027999997138977,0.22779999673366547,2.2534971237182617,2.2316629886627197,0.8197200000286102,0.7722000032663345,0.3512600064277649,0.26020002365112305
6,SGD,0.19251999258995056,0.23479999601840973,2.2197413444519043,2.1800761222839355,0.8074800074100494,0.7652000039815903,0.32002002000808716,0.2361999750137329
7,SGD,0.2062000036239624,0.2587999999523163,2.1617162227630615,2.107351303100586,0.7937999963760376,0.7412000000476837,0.28491997718811035,0.2085999846458435
8,SGD,0.22147999703884125,0.2786000072956085,2.1021180152893066,2.0444979667663574,0.7785200029611588,0.7213999927043915,0.2562999725341797,0.20499998331069946
9,SGD,0.23652000725269318,0.2874999940395355,2.0620462894439697,2.009615898132324,0.7634799927473068,0.7125000059604645,0.24299997091293335,0.20509999990463257
10,SGD,0.24865999817848206,0.2971000075340271,2.0353708267211914,1.9859833717346191,0.7513400018215179,0.7028999924659729,0.2297000288963318,0.2031000256538391
11,SGD,0.259799987077713,0.3003000020980835,2.0124881267547607,1.9685367345809937,0.740200012922287,0.6996999979019165,0.22219997644424438,0.196399986743927
12,SGD,0.26833999156951904,0.3167000114917755,1.9956812858581543,1.9511181116104126,0.731660008430481,0.6832999885082245,0.21329998970031738,0.18919998407363892
